name,category,price,target,features,pain_point,stock_status,linked_inquiry_id,linked_policy_id,product_url
오버핏 코튼 블라우스,상의,39000,20대 여성,면 100%|데일리 스카이블루|S/M/L,사이즈 선택 문의가 많음,in_stock,INQ-1001,POL-1001,https://stylethread.invalid/products/amber-cotton-blouse
슬림 데님 팬츠,하의,59000,20대 여성,슬림핏 중청 컬러|스판 원단|28-34 사이즈,화면 색상 차이에 민감도가 높음,in_stock,INQ-1002,POL-1002,https://stylethread.invalid/products/slim-denim-pants
데일리 캔버스 백,가방,32000,대학생,가벼운 무게|A4 수납|내부 포켓|아이보리/블랙,배송 미수령 확인 요청이 발생할 수 있음,low_stock,INQ-1003,POL-1003,https://stylethread.invalid/products/daily-canvas-bag
린넨 와이드 팬츠,하의,49000,직장인 여성,린넨 원단|와이드핏 허리 밴딩|베이지/네이비,반품 후 환불 일정 문의가 많음,in_stock,INQ-1004,POL-1004,https://stylethread.invalid/products/linen-wide-pants
니트 반팔 가디건,아우터,45000,20대 여성,부드러운 니트|단추 여밈|크림/민트|프리사이즈,단추 불량 등 초기 검수 이슈 대응 필요,in_stock,INQ-1005,POL-1005,https://stylethread.invalid/products/knit-short-cardigan
쿨링 기능성 티셔츠,상의,29000,운동 입문자,흡습속건|가벼운 소재|블랙/그레이|M/L/XL,착용 후 변심 문의 가능,in_stock,INQ-1006,POL-1006,https://stylethread.invalid/products/classic-crew-shirt
라이트 트렌치 코트,아우터,129000,직장인 여성,생활 방수|허리 벨트|베이지/카키|S/M,배송 중 구김과 포장 상태 민감,in_stock,INQ-1007,POL-1007,https://stylethread.invalid/products/light-trench-coat
스웨이드 로퍼,신발,79000,직장인 여성,쿠션 인솔|슬립온 밑창|브라운/블랙|250-280,사이즈 교환과 착화 흔적 판정 필요,in_stock,INQ-1008,POL-1008,https://stylethread.invalid/products/suede-loafer
플리츠 미디 스커트,하의,54000,20대 여성,허리 밴딩|안감 포함|블랙/아이보리|S/M/L,주름 손상 여부 확인 필요,low_stock,INQ-1009,POL-1009,https://stylethread.invalid/products/pleats-midi-skirt
베이지 후드 집업,아우터,62000,대학생,기모 안감|투웨이 지퍼|네이비/멜란지|M/L,지퍼 불량 교환 문의 가능,in_stock,INQ-1010,POL-1010,https://stylethread.invalid/products/beige-hooded-zipup
미니멀 숄더백,가방,41000,출퇴근 고객,생활 방수|분리 수납|블랙/브라운|조절 스트랩,스트랩 부자재 누락 확인 필요,in_stock,INQ-1011,POL-1011,https://stylethread.invalid/products/minimal-shoulder-bag
와이드 밴딩 슬랙스,하의,56000,직장인 여성,구김 방지|허리 밴딩|차콜/블랙|M/L/XL,수선 후 반품 불가 안내 필요,in_stock,INQ-1012,POL-1012,https://stylethread.invalid/products/wide-padding-slacks
라운드넥 니트,상의,68000,겨울 의류 고객,울 혼방|부드러운 촉감|오트밀/그린|S/M,올 풀림과 소재 민감 문의 가능,in_stock,INQ-1013,POL-1013,https://stylethread.invalid/products/round-neck-knit
하이웨이스트 쇼츠,하의,36000,여름 휴가 고객,하이웨이스트 코튼 원단|데일리 치마바지|S/M/L,착용 흔적 반품 판정 필요,in_stock,INQ-1014,POL-1014,https://stylethread.invalid/products/high-waist-shorts
데일리 스니커즈,신발,69000,캐주얼 고객,경량창|쿠션 인솔|화이트/블랙|230-280,착화 후 교환 제한 안내 필요,in_stock,INQ-1015,POL-1015,https://stylethread.invalid/products/daily-sneakers
터치블 셋업 점퍼,아우터,98000,스포티룩 고객,터치블 소재|셋업 가능|블랙/그레이|S/M/L,착용 후 훼손자 판정 문의 가능,in_stock,INQ-1016,POL-1016,https://stylethread.invalid/products/touchable-setup-jumper
소프트 머플러,액세서리,25000,선물 구매 고객,부드러운 촉감|체크 패턴|선물 포장 가능,선물 포장 누락 문의 가능,in_stock,INQ-1017,POL-1017,https://stylethread.invalid/products/soft-muffler
