policy_id,title,request_type,related_product,content,condition,deadline_days,required_fields
POL-1001,오버핏 코튼 셔츠 사이즈 교환 정책,교환,오버핏 코튼 셔츠,"의류 사이즈 교환은 상품 수령 후 7일 이내 신청 가능하며 미사용 상태, 택 보존, 구성품 누락 없음이 확인되어야 합니다.","미사용, 택 보존, 재판매 가능 상태",7,"order_id, product_name, product_received_at, tag_removed, used"
POL-1002,슬림 데님 팬츠 단순 변심 반품 정책,반품,슬림 데님 팬츠,"색상 또는 핏 불만 등 단순 변심 반품은 수령 후 7일 이내 가능하며 착용 흔적, 세탁, 오염, 택 제거가 있으면 제한됩니다.","미사용, 오염 없음, 택 보존",7,"order_id, product_name, product_received_at, used, tag_removed"
POL-1003,데일리 캔버스 백 배송 미수령 정책,배송,데일리 캔버스 백,"배송 완료 표시 후 미수령 신고가 접수되면 운송장, 배송지, 경비실, 무인택배함 확인 후 택배사 조사를 접수합니다.","배송 완료 표시, 고객 미수령 신고",0,"order_id, customer_name, customer_message"
POL-1004,린넨 와이드 팬츠 환불 처리 정책,환불,린넨 와이드 팬츠,"반품 수거 및 검수 완료 후 영업일 기준 2~5일 내 결제수단으로 환불됩니다. 결제사 사정으로 입금 확인이 지연될 수 있습니다.","반품 수거 완료, 검수 완료",5,"order_id, product_name, customer_message"
POL-1005,니트 반팔 가디건 초기 불량 교환 정책,교환,니트 반팔 가디건,"단추 탈락 같은 초기 불량은 사진 확인 후 동일 상품 교환 또는 환불로 처리합니다. 불량 확인 시 배송비는 쇼핑몰이 부담합니다.","불량 사진 필요, 구성품 보존",7,"order_id, product_name, photos_attached, customer_message"
POL-1006,쿨링 기능성 티셔츠 세탁 후 하자 정책,반품,쿨링 기능성 티셔츠,"세탁 후 변형은 세탁 방법 준수 여부와 상품 하자 여부를 확인한 뒤 교환 또는 환불 가능성을 판단합니다.","세탁 라벨 준수 확인, 사진 필요",14,"order_id, product_name, photos_attached, customer_message"
POL-1007,라이트 트렌치 코트 포장 손상 교환 정책,교환,라이트 트렌치 코트,"배송 중 포장 손상이나 심한 구김이 확인되면 사진 확인 후 교환 또는 부분 보상 안내가 가능합니다.","포장 사진, 상품 상태 사진 필요",7,"order_id, product_name, photos_attached"
POL-1008,스웨이드 로퍼 실내 착화 교환 정책,교환,스웨이드 로퍼,"신발 사이즈 교환은 실내 착화 수준이고 밑창 오염 또는 주름이 심하지 않은 경우 수령 후 7일 이내 가능합니다.","실내 착화, 밑창 오염 없음",7,"order_id, product_name, used, photos_attached"
POL-1009,플리츠 미디 스커트 주름 상태 정책,반품,플리츠 미디 스커트,"플리츠 주름 눌림이 배송 또는 보관 중 발생한 것으로 확인되면 반품 또는 교환 접수가 가능합니다.","상품 상태 사진 필요, 미착용",7,"order_id, product_name, photos_attached"
POL-1010,베이직 후드 집업 지퍼 불량 정책,교환,베이직 후드 집업,"지퍼 걸림, 파손, 봉제 불량은 초기 불량으로 접수 가능하며 사진 또는 영상 확인 후 동일 상품 교환을 우선 안내합니다.","불량 영상 또는 사진 필요",7,"order_id, product_name, photos_attached"
POL-1011,미니멀 크로스백 부자재 누락 정책,교환,미니멀 크로스백,"스트랩, 파우치 등 구성품 누락은 누락 구성품 재발송을 우선 처리하고 재발송이 어려우면 교환으로 처리합니다.","구성품 누락 확인",7,"order_id, product_name, customer_message"
POL-1012,와이드 밴딩 슬랙스 수선 후 반품 정책,반품,와이드 밴딩 슬랙스,"기장 수선, 허리 조정 등 고객 가공이 완료된 상품은 단순 변심 반품이 제한됩니다.","고객 가공 상품",0,"order_id, product_name, customer_message"
POL-1013,라운드 울 니트 소재 불편 반품 정책,반품,라운드 울 니트,"울 혼방 소재의 촉감 불편은 단순 변심으로 처리되며 미사용, 택 보존, 수령 후 7일 이내 조건을 충족해야 합니다.","미사용, 택 보존",7,"order_id, product_name, product_received_at, used"
POL-1014,하이웨스트 쇼츠 사이즈 교환 정책,교환,하이웨스트 쇼츠,"하의 사이즈 교환은 수령 후 7일 이내, 실외 착용 및 오염이 없는 경우 가능합니다.","미사용, 오염 없음, 택 보존",7,"order_id, product_name, used, tag_removed"
POL-1015,데일리 스니커즈 착화 후 교환 정책,교환,데일리 스니커즈,"실외 착화 흔적이 있는 신발은 사이즈 교환이 제한됩니다. 실내 착화 수준이면 사진 확인 후 예외 접수할 수 있습니다.","밑창 사진 필요, 실외 착화 제한",7,"order_id, product_name, used, photos_attached"
POL-1016,워셔블 셋업 자켓 세탁 후 환불 정책,환불,워셔블 셋업 자켓,"세탁 후 하자는 케어라벨 준수 여부와 원단 불량 여부를 확인한 뒤 검수 결과에 따라 환불 또는 교환합니다.","세탁 방법 확인, 사진 필요",14,"order_id, product_name, customer_message, photos_attached"
POL-1017,소프트 머플러 선물 포장 누락 정책,배송,소프트 머플러,"선물 포장 옵션 누락은 포장 키트 재배송 또는 포장 비용 환불로 처리할 수 있습니다.","옵션 주문 내역 확인",3,"order_id, product_name, customer_message"
POL-1018,스트레이트 코튼 팬츠 색상 교환 정책,교환,스트레이트 코튼 팬츠,"색상 교환은 동일 상품 재고가 있고 미사용 상태이며 수령 후 7일 이내일 때 가능합니다.","미사용, 택 보존, 교환 재고 확인",7,"order_id, product_name, used, tag_removed"
POL-1019,크롭 반팔 티셔츠 사이즈 교환 정책,교환,크롭 반팔 티셔츠,"상의 사이즈 교환은 택 보존, 오염 없음, 미사용 상태에서 수령 후 7일 이내 접수할 수 있습니다.","미사용, 택 보존",7,"order_id, product_name, product_received_at"
POL-1020,유틸리티 백팩 초기 오염 반품 정책,반품,유틸리티 백팩,"수령 직후 발견된 오염은 사진 확인 후 초기 불량으로 접수할 수 있으며 반품 배송비는 쇼핑몰이 부담합니다.","오염 사진 필요, 수령 직후 신고",7,"order_id, product_name, photos_attached"
POL-1021,새틴 블라우스 올풀림 빠른 교환 정책,교환,새틴 블라우스,"행사 일정 등 긴급 사유가 있는 초기 불량 교환은 재고 확인 후 선출고 가능 여부를 검토합니다.","불량 사진, 재고 확인",7,"order_id, product_name, photos_attached"
POL-1022,코듀로이 셔츠 자켓 소재 특성 반품 정책,반품,코듀로이 셔츠 자켓,"소재 특성으로 인한 털 묻어남은 상품 설명 고지 여부에 따라 단순 변심 또는 하자 접수로 분류합니다.","상품 설명 고지 확인, 사진 필요",7,"order_id, product_name, customer_message"
POL-1023,롱 슬리브 원피스 출고 일정 정책,배송,롱 슬리브 원피스,"행사 전 수령 요청은 결제 완료 시간, 재고 위치, 택배 마감 시간을 확인해 당일 출고 가능 여부를 안내합니다.","재고 있음, 택배 마감 전",0,"order_id, product_name, customer_message"
POL-1024,리브드 탱크탑 착용 후 반품 정책,반품,리브드 탱크탑,"몸에 직접 닿는 슬림핏 이너류는 착용 흔적이 있으면 위생 사유로 반품이 제한될 수 있습니다.","착용 흔적 확인, 택 보존",7,"order_id, product_name, used, tag_removed"
POL-1025,테이퍼드 조거 팬츠 사용 후 품질 이슈 정책,환불,테이퍼드 조거 팬츠,"사용 후 보풀 등 품질 이슈는 착용 횟수, 세탁 여부, 마찰 부위 사진을 바탕으로 하자 여부를 검수합니다.","사진 필요, 사용 기간 확인",30,"order_id, product_name, photos_attached, customer_message"
POL-1026,레더 벨트 가공 후 반품 정책,반품,레더 벨트,"구멍 추가, 길이 절단 등 고객 가공이 이루어진 상품은 단순 변심 반품이 제한됩니다.","고객 가공 상품",0,"order_id, product_name, customer_message"
POL-1027,퀼팅 패딩 베스트 충전재 뭉침 정책,교환,퀼팅 패딩 베스트,"충전재 뭉침이 수령 직후 확인되면 사진 확인 후 불량 교환이 가능하며 착용 후 발생한 경우 검수가 필요합니다.","상품 상태 사진 필요",7,"order_id, product_name, photos_attached"
POL-1028,메리제인 플랫 발볼 사이즈 교환 정책,교환,메리제인 플랫,"발볼 불편으로 인한 사이즈 교환은 실내 착화 수준이고 밑창 오염이 없을 때 수령 후 7일 이내 가능합니다.","실내 착화, 밑창 오염 없음",7,"order_id, product_name, used, photos_attached"
POL-1029,시어서커 파자마 세트 홈웨어 반품 정책,반품,시어서커 파자마 세트,"홈웨어 세트는 착용 흔적, 세탁, 향수 냄새, 오염이 있으면 반품이 제한됩니다. 단순 착용 확인도 검수 대상입니다.","위생 검수 필요, 택 보존",7,"order_id, product_name, used, tag_removed"
POL-1030,실키 헤어 스크런치 소액 주문 배송비 정책,배송,실키 헤어 스크런치,"소액 주문 배송비는 무료배송 기준 금액 미만일 때 부과되며 묶음 배송은 같은 주문번호와 출고 전 상태에서만 가능합니다.","출고 전 주문, 동일 주문번호",0,"order_id, product_name, customer_message"
